##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461180_subsampled_reverse
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1226483
Sequences flagged as poor quality	0
Sequence length	37
%GC	56
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
24	16	2.20172
24	17	-0.39354
24	18	-0.562072
24	19	2.0638
24	20	-0.221683
24	21	1.46093
24	22	-2.44511
24	23	0.438422
24	24	2.5124
24	25	0.838375
24	26	1.41083
24	27	-0.274576
24	28	1.8626
24	29	2.53263
24	30	1.65345
24	31	2.73834
24	32	0.491547
24	33	-2.22087
24	34	2.63044
24	35	1.19097
24	36	-0.230013
24	37	1.9405
25	1	0.726475
25	2	1.8455
25	3	2.4143
25	4	2.4878
25	5	2.17702
25	6	1.34791
25	7	1.19357
25	8	-1.2624
25	9	-8.52897
25	10	-8.60172
25	11	-6.53979
25	12	-1.34873
25	13	1.45355
25	14	1.44551
25	15	0.369825
25	16	0.883352
25	17	1.80858
25	18	-0.289951
25	19	1.71104
25	20	2.27829
25	21	3.66658
25	22	3.53333
25	23	1.64784
25	24	2.15432
25	25	4.78748
25	26	4.49155
25	27	2.31777
25	28	4.74567
25	29	0.482734
25	30	2.97348
25	31	-1.48435
25	32	3.90357
25	33	3.16447
25	34	3.92739
25	35	2.86701
25	36	-0.801608
25	37	1.94627
26	1	1.7146
26	2	1.40712
26	3	-0.62413
26	4	1.89058
26	5	1.55521
26	6	-7.18787
26	7	0.182407
26	8	-6.6729
26	9	-9.78739
26	10	-9.01474
26	11	-10.0426
26	12	-10.4182
26	13	-9.86921
26	14	-10.1794
26	15	-9.32599
26	16	-9.07532
26	17	-9.06767
26	18	-10.0907
26	19	-9.74072
26	20	-13.365
26	21	-11.8197
26	22	-11.898
26	23	-10.4546
26	24	-8.02526
26	25	-9.73245
26	26	-11.8665
26	27	-9.89801
26	28	-12.9125
26	29	-6.1313
26	30	-11.4324
26	31	-6.65171
26	32	-7.25112
26	33	-10.0818
26	34	-8.83494
26	35	-8.19096
26	36	-6.89942
26	37	-8.30732
27	1	0.984232
27	2	1.79052
27	3	1.97714
27	4	1.95925
27	5	2.09663
27	6	2.1996
27	7	2.00569
27	8	2.08949
27	9	-1.24641
27	10	-1.55788
27	11	2.66899
27	12	2.54054
27	13	3.04576
27	14	1.32703
27	15	1.7971
27	16	1.91949
27	17	1.65938
27	18	2.92277
27	19	2.57133
27	20	0.637159
27	21	0.347416
27	22	1.77103
27	23	1.66266
27	24	2.58168
27	25	1.37486
27	26	3.55218
27	27	1.3719
27	28	2.92779
27	29	3.23307
27	30	3.07748
27	31	2.64894
27	32	-0.484201
27	33	-0.674047
27	34	2.08554
27	35	2.87871
27	36	-0.133132
27	37	2.04542
28	1	-1.50352
28	2	1.04689
28	3	1.98533
28	4	2.04433
28	5	-3.44231
28	6	-3.85063
28	7	-1.9544
28	8	1.40337
28	9	1.66647
28	10	1.48503
28	11	1.13018
28	12	1.63444
28	13	1.99622
28	14	1.8891
28	15	-0.922945
28	16	-1.11206
28	17	1.93305
28	18	0.893463
28	19	-5.08178
28	20	-3.58705
28	21	2.39484
28	22	-2.4344
28	23	-3.19186
28	24	1.9793
28	25	-3.52027
28	26	-5.91833
28	27	-4.30627
28	28	-5.73891
28	29	-5.46962
